FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
31495007_097204421,31.830575,-97.34561388888888,66.0,0,1116,1,0
31560327_097382053,31.93424166666667,-97.63903611111112,59.0,0,268,1,0
31572533_097240055,31.957036111111112,-97.40015277777778,53.0,1,1663,3,0
31480653_097492753,31.80181388888889,-97.82431388888888,32.0,0,75,1,0
31374609_097314689,31.629469444444446,-97.52969166666666,89.0,0,89,1,0
32043240_097435986,32.07566666666667,-97.73329444444444,35.0,0,99,1,0
32043509_097435516,32.076413888888894,-97.73198888888889,74.0,1,99,4,1
31505567_097314587,31.84879722222222,-97.52940833333334,29.0,0,10,1,0
31520330_097310918,31.867583333333332,-97.51921666666667,27.0,0,35,1,0
31523485_097310679,31.876347222222222,-97.51855277777777,89.0,0,2,1,0
31492996_097284257,31.82498888888889,-97.47849166666667,29.0,0,45,1,0
31493196_097232676,31.825544444444443,-97.39076666666668,29.0,0,99,1,0
31404430_097302580,31.678972222222225,-97.50716666666666,31.0,0,97,5,0
31591207_097533046,31.986686111111112,-97.89179444444446,89.0,0,23,1,0
31592531_097452830,31.99036388888889,-97.75786111111111,29.0,0,45,5,0
32002811_097362654,32.00780833333334,-97.60737222222221,86.0,0,78,1,0
32064397_097433595,32.11221388888889,-97.72665277777779,29.0,0,60,1,0
32075657_097412322,32.13238055555556,-97.68978333333334,89.0,0,25,1,0
31440329_097253135,31.734247222222223,-97.425375,34.0,0,46,1,0
31444264_097175318,31.74517777777778,-97.29810555555555,29.0,0,191,1,0
32000615_097352029,32.00170833333333,-97.58896944444444,89.0,0,41,1,0
31595642_097350006,31.999005555555556,-97.58335,89.0,0,41,1,0
31562814_097401437,31.94115,-97.67065833333334,89.0,0,42,1,0
