Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
1993,0060154,COMMUNITY WATER SYSTEMS-HOUSEMAN ESTATES WATER SUPPLY,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,642,500","1,642,500"
1993,0060157,ORANGE COUNTY WCID 1-LYNNWOOD ADDITION WATER SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"2,080,500","2,080,500"
1993,0060159,ORANGE COUNTY WCID 1-MITZI STREET SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,861,500","1,861,500"
1993,0060162,ORANGE COUNTY WCID 1-PINE OAK SUBDIVISIN WATER SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"3,066,000","3,066,000"
1993,0060166,SAWMILL ADDITION,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"2,956,500","2,956,500"
1993,0060167,B & B WATER WORKS-SUBURBAN FARM MHP SYSTEM,0,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"7,117,500","7,117,500"
1993,0060170,B B S WSC,0,Ground Water,SS,I,ANDERSON,NECHES,ANDERSON,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,3,N,N,0.00,"1,627,000","1,322,600","1,519,300","1,705,400","2,582,900","1,735,500","2,481,700","2,402,900","1,901,600","1,842,800","1,675,500","1,754,600","22,551,800"
1993,0060200,CITY OF BEAUMONT,"116,500",Surface Water,SS,I,JEFFERSON,NECHES-TRINITY,ORANGE,NECHES,,NECHES RUN OF RIVER,N/A,0,N,N,0.00,"306,429,000","275,178,000","306,810,000","304,534,000","317,529,000","317,187,000","352,240,000","447,098,000","386,797,000","354,221,000","319,442,000","336,433,000","4,023,898,000"
1993,0062400,CITY OF BECKVILLE,"1,100",Ground Water,SS,I,PANOLA,SABINE,PANOLA,SABINE,CARRIZO-WILCOX AQUIFER,,N/A,4,N,N,0.00,"3,513,000","3,550,000","3,408,000","3,891,000","3,627,000","3,694,000","4,172,000","4,158,000","3,999,000","3,219,000","2,796,000","2,852,000","42,879,000"
1993,0063247,BEECHWOOD WSC,894,Surface Water,Pur,I,SABINE,SABINE,SABINE,SABINE,,TOLEDO BEND LAKE/RESERVOIR,TOLEDO BEND 05170,0,N,N,0.00,"1,029,600","754,400","953,900","1,374,100","1,028,300","1,661,600","2,634,400","2,668,600","2,961,500","1,421,900","1,119,100","870,700","18,478,100"
